Time(s)                  AngVel-x(rad/s)          AngVel-y(rad/s)          AngVel-z(rad/s)          Ref.AngVelX(rad/s)       Ref.AngVelY(rad/s)       Ref.AngVelZ(rad/s)       Err.AngVelX(rad/s)       Err.AngVelY(rad/s)       Err.AngVelZ(rad/s)       Rot.Angle(deg)           Prof.Angle(deg)          Prof.w(rad/s)            Prof.e(rad/s^2)          
15.0306                  0.0147453                0.00120374               0.00115567               0                        0                        0                        0                        0                        0                        4.91653                  0                        0                        0                        
15.1904                  -0.002317                0.00108507               0.00107262               0                        0                        0                        0                        0                        0                        4.93693                  0                        0                        0                        
15.3345                  0.0124872                6.96246e-06              0.00232436               0                        0                        0                        0                        0                        0                        4.88593                  0                        0                        0                        
15.5011                  -0.00396815              -2.03658e-05             0.00204418               0                        0                        0                        0                        0                        0                        4.90508                  0                        0                        0                        
15.622                   0.000153368              -9.74627e-07             9.78266e-05              0                        0                        0                        0                        0                        0                        4.90389                  0                        0                        0                        
15.7817                  -0.00180831              -0.00107334              -6.75615e-06             0                        0                        0                        0                        0                        0                        4.90318                  0                        0                        0                        
15.9415                  0.00306494               -0.00109157              -8.75081e-06             0                        0                        0                        0                        0                        0                        4.88058                  0                        0                        0                        
16.0854                  -0.00244876              -0.00119871              -0.00115925              0                        0                        0                        0                        0                        0                        4.88203                  0                        0                        0                        
16.245                   -0.00686775              -0.00109506              -2.88384e-05             0                        0                        0                        0                        0                        0                        4.90419                  0                        0                        0                        
16.389                   -0.00713674              -0.00119944              -0.00115623              0                        0                        0                        0                        0                        0                        4.92476                  0                        0                        0                        
16.5332                  -0.0107712               -0.00120987              -3.66249e-05             0                        0                        0                        0                        0                        0                        4.96183                  0                        0                        0                        
16.6927                  0.00191639               -2.84767e-05             0.00104545               0                        0                        0                        0                        0                        0                        4.95175                  0                        0                        0                        
16.8366                  0.00656078               -0.0011889               0.00117102               0                        0                        0                        0                        0                        0                        4.91511                  0                        0                        0                        
16.9963                  0.00412355               -2.94914e-05             0.00106587               0                        0                        0                        0                        0                        0                        4.89641                  0                        0                        0                        
17.1402                  0.00803051               -1.06241e-05             0.00117678               0                        0                        0                        0                        0                        0                        4.86327                  0                        0                        0                        
17.2842                  0.00799869               -2.84887e-07             3.15558e-05              0                        0                        0                        0                        0                        0                        4.83131                  0                        0                        0                        
17.428                   0.00264686               1.20437e-05              -0.00114897              0                        0                        0                        0                        0                        0                        4.82141                  0                        0                        0                        
17.5934                  -0.00722179              -0.00102814              -0.00103735              0                        0                        0                        0                        0                        0                        4.84629                  0                        0                        0                        
17.7318                  -0.000827372             -2.05654e-05             -0.00122171              0                        0                        0                        0                        0                        0                        4.84867                  0                        0                        0                        
17.8755                  -0.00366598              9.89521e-06              -0.00118321              0                        0                        0                        0                        0                        0                        4.86379                  0                        0                        0                        
18.0353                  -0.00258777              -0.00106297              -0.001072                0                        0                        0                        0                        0                        0                        4.86675                  0                        0                        0                        
18.1951                  0.00584931               -9.87974e-06             -0.00106312              0                        0                        0                        0                        0                        0                        4.83965                  0                        0                        0                        
18.3425                  -0.00251501              -1.05431e-05             0.00109757               0                        0                        0                        0                        0                        0                        4.85093                  0                        0                        0                        
18.4827                  -0.00615966              -3.11133e-07             3.23898e-05              0                        0                        0                        0                        0                        0                        4.87594                  0                        0                        0                        
18.6269                  0.00189863               -9.45732e-06             0.00114771               0                        0                        0                        0                        0                        0                        4.86721                  0                        0                        0                        
18.7865                  0.0106141                -1.95152e-05             0.0021117                0                        0                        0                        0                        0                        0                        4.81897                  0                        0                        0                        
18.9306                  -0.00886146              -1.13401e-05             0.00120323               0                        0                        0                        0                        0                        0                        4.85695                  0                        0                        0                        
19.09                    0.000335713              -9.40676e-06             0.00106778               0                        0                        0                        0                        0                        0                        4.85474                  0                        0                        0                        
19.234                   0.00631655               -2.52326e-07             2.86421e-05              0                        0                        0                        0                        0                        0                        4.82855                  0                        0                        0                        
